post_id,label,Certainty
cgygbr,NTA,4.0
cgygbr,YTA,4.0
cgygbr,NAH,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,NAH,4.0
cgygbr,NAH,4.0
cgygbr,NTA,4.0
cgygbr,YTA,4.0
cgygbr,NTA,4.0
cgygbr,NAH,3.0
cgygbr,YTA,4.0
cgygbr,NAH,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,NAH,3.0
cgygbr,NAH,4.0
cgygbr,YTA,3.0
cgygbr,NAH,4.0
cgygbr,NTA,4.0
cgygbr,NAH,4.0
cgygbr,NAH,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,NAH,4.0
cgygbr,NTA,4.0
cgygbr,NTA,4.0
cgygbr,YTA,4.0
cgygbr,NTA,4.0
cgygbr,YTA,4.0
cgygbr,ESH,3.0
cgygbr,YTA,4.0
cgygbr,NAH,3.0
cgygbr,NTA,4.0
cgygbr,NTA,4.0
cgygbr,NTA,4.0
cgygbr,NTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,NAH,4.0
cgygbr,NTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,NTA,4.0
cgygbr,NAH,1.0
cgygbr,NAH,4.0
cgygbr,NTA,4.0
cgygbr,NAH,4.0
cgygbr,NTA,4.0
cgygbr,YTA,4.0
cgygbr,NTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,NTA,4.0
cgygbr,YTA,4.0
cgygbr,NTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,NAH,4.0
cgygbr,YTA,4.0
cgygbr,NTA,4.0
cgygbr,NAH,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,NTA,4.0
cgygbr,YTA,4.0
cgygbr,NAH,4.0
cgygbr,NAH,3.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,NAH,4.0
cgygbr,YTA,4.0
cgygbr,NAH,3.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,NTA,4.0
cgygbr,NTA,4.0
cgygbr,YTA,4.0
cgygbr,NAH,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,NAH,3.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,NAH,4.0
cgygbr,YTA,4.0
cgygbr,NAH,4.0
cgygbr,NTA,4.0
cgygbr,YTA,3.0
cgygbr,NTA,4.0
cgygbr,NTA,4.0
cgygbr,NTA,4.0
cgygbr,NAH,4.0
cgygbr,NAH,4.0
cgygbr,NAH,4.0
cgygbr,YTA,4.0
cgygbr,NTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,ESH,3.0
cgygbr,NTA,4.0
cgygbr,NTA,4.0
cgygbr,NTA,4.0
cgygbr,NAH,4.0
cgygbr,NAH,4.0
cgygbr,YTA,4.0
cgygbr,NTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,NTA,4.0
cgygbr,YTA,4.0
cgygbr,NTA,4.0
cgygbr,NAH,4.0
cgygbr,NTA,4.0
cgygbr,NTA,4.0
cgygbr,NTA,4.0
cgygbr,YTA,4.0
cgygbr,NTA,4.0
cgygbr,YTA,4.0
cgygbr,YTA,4.0
cgygbr,NTA,4.0
